,labels,x,y
0,,16527,9382
1,,65373,9382
2,,65373,30671
3,,16527,30671
4,GERMINAL CENTRE,37242,21400
5,GERMINAL CENTRE,37230,21412
6,GERMINAL CENTRE,37218,21412
7,GERMINAL CENTRE,37207,21412
8,GERMINAL CENTRE,37195,21412
9,GERMINAL CENTRE,37183,21412
10,GERMINAL CENTRE,37171,21412
11,GERMINAL CENTRE,37160,21412
12,GERMINAL CENTRE,37148,21436
13,GERMINAL CENTRE,37125,21436
14,GERMINAL CENTRE,37113,21436
15,GERMINAL CENTRE,37113,21447
16,GERMINAL CENTRE,37089,21447
17,GERMINAL CENTRE,37078,21459
18,GERMINAL CENTRE,37078,21471
19,GERMINAL CENTRE,37054,21482
20,GERMINAL CENTRE,37042,21482
21,GERMINAL CENTRE,37031,21506
22,GERMINAL CENTRE,37007,21506
23,GERMINAL CENTRE,36984,21518
24,GERMINAL CENTRE,36972,21541
25,GERMINAL CENTRE,36960,21553
26,GERMINAL CENTRE,36949,21553
27,GERMINAL CENTRE,36925,21565
28,GERMINAL CENTRE,36913,21588
29,GERMINAL CENTRE,36902,21588
30,GERMINAL CENTRE,36878,21611
31,GERMINAL CENTRE,36867,21623
32,GERMINAL CENTRE,36831,21635
33,GERMINAL CENTRE,36808,21658
34,GERMINAL CENTRE,36784,21682
35,GERMINAL CENTRE,36773,21694
36,GERMINAL CENTRE,36761,21694
37,GERMINAL CENTRE,36749,21705
38,GERMINAL CENTRE,36738,21717
39,GERMINAL CENTRE,36726,21729
40,GERMINAL CENTRE,36714,21752
41,GERMINAL CENTRE,36691,21764
42,GERMINAL CENTRE,36691,21776
43,GERMINAL CENTRE,36679,21799
44,GERMINAL CENTRE,36656,21823
45,GERMINAL CENTRE,36644,21834
46,GERMINAL CENTRE,36644,21858
47,GERMINAL CENTRE,36644,21869
48,GERMINAL CENTRE,36632,21881
49,GERMINAL CENTRE,36620,21893
50,GERMINAL CENTRE,36609,21905
51,GERMINAL CENTRE,36597,21916
52,GERMINAL CENTRE,36585,21916
53,GERMINAL CENTRE,36585,21928
54,GERMINAL CENTRE,36573,21928
55,GERMINAL CENTRE,36573,21940
56,GERMINAL CENTRE,36573,21952
57,GERMINAL CENTRE,36562,21963
58,GERMINAL CENTRE,36550,21975
59,GERMINAL CENTRE,36538,21987
60,GERMINAL CENTRE,36538,21998
61,GERMINAL CENTRE,36527,22010
62,GERMINAL CENTRE,36515,22034
63,GERMINAL CENTRE,36515,22057
64,GERMINAL CENTRE,36503,22069
65,GERMINAL CENTRE,36491,22092
66,GERMINAL CENTRE,36480,22104
67,GERMINAL CENTRE,36468,22127
68,GERMINAL CENTRE,36468,22139
69,GERMINAL CENTRE,36468,22151
70,GERMINAL CENTRE,36456,22174
71,GERMINAL CENTRE,36444,22186
72,GERMINAL CENTRE,36444,22198
73,GERMINAL CENTRE,36444,22209
